city,location,price,area,bathrooms,age,bhk,type,status
Trivandrum,Karyavattom,90,1500,3,0.0,3,Villa,UC
Ernakulam,Eloor,76,1464,3,4.5,3,Villa,RM
Thrissur,Pullazhi,68,1800,4,0.0,3,Villa,UC
Thrissur,Cheroor,125.0,2500,5,0.0,4,Independent House,RM
Pathanamthitta,Thiruvalla,114.99999999999999,3200,5,6.5,5,Villa,RM
Kochi,Kakkanad,52,1517,2,1.5,2,Apartment,RM
Kochi,Kakkanad,69.99,1406,2,10.5,3,Apartment,RM
Trivandrum,Kazhakkoottam,85,1605,3,0.5,3,Villa,RM
Kochi,Cheranalloor,70,900,2,4.5,2,Independent House,RM
Kochi,Kakkanad,48,1394,3,0.0,3,Apartment,RM
Kochi,vyttila,33,850,2,5.5,2,Apartment,RM
Thrissur,Cheroor,39.99,1120,2,0.0,2,Apartment,RM
Kochi,Edappally,46,1002,2,0.0,2,Apartment,RM
Kochi,Periyar Nagar,57.5,1350,3,4.0,3,Apartment,RM
Kochi,Kuzhivelippady,62,1800,3,5.5,4,Villa,RM
Kozhikode,Chathamangalam Grama Panchayath,170.0,4200,6,2.0,5,Independent House,RM
Kochi,Maradu,74.5,1310,4,0.0,3,Villa,RM
Kozhikode,Government Medical College Campus,150.0,3000,4,0.0,5,Villa,UC
Kochi,Palarivattom,60,1282,3,0.0,3,Apartment,RM
Kochi,Kakkanad,70,1750,3,0.0,3,Villa,RM
Trivandrum,Karyavattom,90,1500,3,0.0,3,Villa,UC
Ernakulam,Eloor,76,1464,3,4.5,3,Villa,RM
Thrissur,Pullazhi,68,1800,4,0.0,3,Villa,UC
Thrissur,Cheroor,125.0,2500,5,0.0,4,Independent House,RM
Pathanamthitta,Thiruvalla,114.99999999999999,3200,5,6.5,5,Villa,RM
Kochi,Kakkanad,52,1517,2,1.5,2,Apartment,RM
Kochi,Kakkanad,69.99,1406,2,10.5,3,Apartment,RM
Trivandrum,Kazhakkoottam,85,1605,3,0.5,3,Villa,RM
Kochi,Cheranalloor,70,900,2,4.5,2,Independent House,RM
Kochi,Kakkanad,48,1394,3,0.0,3,Apartment,RM
Kochi,vyttila,33,850,2,5.5,2,Apartment,RM
Thrissur,Cheroor,39.99,1120,2,0.0,2,Apartment,RM
Kochi,Edappally,46,1002,2,0.0,2,Apartment,RM
Kochi,Periyar Nagar,57.5,1350,3,4.0,3,Apartment,RM
Kochi,Kuzhivelippady,62,1800,3,5.5,4,Villa,RM
Kozhikode,Chathamangalam Grama Panchayath,170.0,4200,6,2.0,5,Independent House,RM
Kochi,Maradu,74.5,1310,4,0.0,3,Villa,RM
Kozhikode,Government Medical College Campus,150.0,3000,4,0.0,5,Villa,UC
Kochi,Palarivattom,60,1282,3,0.0,3,Apartment,RM
Kochi,Kakkanad,70,1750,3,0.0,3,Villa,RM
Trivandrum,Karyavattom,90,1500,3,0.0,3,Villa,UC
Ernakulam,Eloor,76,1464,3,4.5,3,Villa,RM
Thrissur,Pullazhi,68,1800,4,0.0,3,Villa,UC
Thrissur,Cheroor,125.0,2500,5,0.0,4,Independent House,RM
Pathanamthitta,Thiruvalla,114.99999999999999,3200,5,6.5,5,Villa,RM
Kochi,Kakkanad,52,1517,2,1.5,2,Apartment,RM
Kochi,Kakkanad,69.99,1406,2,10.5,3,Apartment,RM
Trivandrum,Kazhakkoottam,85,1605,3,0.5,3,Villa,RM
Kochi,Cheranalloor,70,900,2,4.5,2,Independent House,RM
Kochi,Kakkanad,48,1394,3,0.0,3,Apartment,RM
Kochi,vyttila,33,850,2,5.5,2,Apartment,RM
Thrissur,Cheroor,39.99,1120,2,0.0,2,Apartment,RM
Kochi,Edappally,46,1002,2,0.0,2,Apartment,RM
Kochi,Periyar Nagar,57.5,1350,3,4.0,3,Apartment,RM
Kochi,Kuzhivelippady,62,1800,3,5.5,4,Villa,RM
Kozhikode,Chathamangalam Grama Panchayath,170.0,4200,6,2.0,5,Independent House,RM
Kochi,Maradu,74.5,1310,4,0.0,3,Villa,RM
Kozhikode,Government Medical College Campus,150.0,3000,4,0.0,5,Villa,UC
Kochi,Palarivattom,60,1282,3,0.0,3,Apartment,RM
Kochi,Kakkanad,70,1750,3,0.0,3,Villa,RM
Trivandrum,Karyavattom,90,1500,3,0.0,3,Villa,UC
Ernakulam,Eloor,76,1464,3,4.5,3,Villa,RM
Thrissur,Pullazhi,68,1800,4,0.0,3,Villa,UC
Thrissur,Cheroor,125.0,2500,5,0.0,4,Independent House,RM
Pathanamthitta,Thiruvalla,114.99999999999999,3200,5,6.5,5,Villa,RM
Kochi,Kakkanad,52,1517,2,1.5,2,Apartment,RM
Kochi,Kakkanad,69.99,1406,2,10.5,3,Apartment,RM
Trivandrum,Kazhakkoottam,85,1605,3,0.5,3,Villa,RM
Kochi,Cheranalloor,70,900,2,4.5,2,Independent House,RM
Kochi,Kakkanad,48,1394,3,0.0,3,Apartment,RM
Kochi,vyttila,33,850,2,5.5,2,Apartment,RM
Thrissur,Cheroor,39.99,1120,2,0.0,2,Apartment,RM
Kochi,Edappally,46,1002,2,0.0,2,Apartment,RM
Kochi,Periyar Nagar,57.5,1350,3,4.0,3,Apartment,RM
Kochi,Kuzhivelippady,62,1800,3,5.5,4,Villa,RM
Kozhikode,Chathamangalam Grama Panchayath,170.0,4200,6,2.0,5,Independent House,RM
Kochi,Maradu,74.5,1310,4,0.0,3,Villa,RM
Kozhikode,Government Medical College Campus,150.0,3000,4,0.0,5,Villa,UC
Kochi,Palarivattom,60,1282,3,0.0,3,Apartment,RM
Kochi,Kakkanad,70,1750,3,0.0,3,Villa,RM
Trivandrum,Karyavattom,90,1500,3,0.0,3,Villa,UC
Ernakulam,Eloor,76,1464,3,4.5,3,Villa,RM
Thrissur,Pullazhi,68,1800,4,0.0,3,Villa,UC
Thrissur,Cheroor,125.0,2500,5,0.0,4,Independent House,RM
Pathanamthitta,Thiruvalla,114.99999999999999,3200,5,6.5,5,Villa,RM
Kochi,Kakkanad,52,1517,2,1.5,2,Apartment,RM
Kochi,Kakkanad,69.99,1406,2,10.5,3,Apartment,RM
Trivandrum,Kazhakkoottam,85,1605,3,0.5,3,Villa,RM
Kochi,Cheranalloor,70,900,2,4.5,2,Independent House,RM
Kochi,Kakkanad,48,1394,3,0.0,3,Apartment,RM
Kochi,vyttila,33,850,2,5.5,2,Apartment,RM
Thrissur,Cheroor,39.99,1120,2,0.0,2,Apartment,RM
Kochi,Edappally,46,1002,2,0.0,2,Apartment,RM
Kochi,Periyar Nagar,57.5,1350,3,4.0,3,Apartment,RM
Kochi,Kuzhivelippady,62,1800,3,5.5,4,Villa,RM
Kozhikode,Chathamangalam Grama Panchayath,170.0,4200,6,2.0,5,Independent House,RM
Kochi,Maradu,74.5,1310,4,0.0,3,Villa,RM
Kozhikode,Government Medical College Campus,150.0,3000,4,0.0,5,Villa,UC
Kochi,Palarivattom,60,1282,3,0.0,3,Apartment,RM
Kochi,Kakkanad,70,1750,3,0.0,3,Villa,RM
Trivandrum,Karyavattom,90,1500,3,0.0,3,Villa,UC
Ernakulam,Eloor,76,1464,3,4.5,3,Villa,RM
Thrissur,Pullazhi,68,1800,4,0.0,3,Villa,UC
Thrissur,Cheroor,125.0,2500,5,0.0,4,Independent House,RM
Pathanamthitta,Thiruvalla,114.99999999999999,3200,5,6.5,5,Villa,RM
Kochi,Kakkanad,52,1517,2,1.5,2,Apartment,RM
Kochi,Kakkanad,69.99,1406,2,10.5,3,Apartment,RM
Trivandrum,Kazhakkoottam,85,1605,3,0.5,3,Villa,RM
Kochi,Cheranalloor,70,900,2,4.5,2,Independent House,RM
Kochi,Kakkanad,48,1394,3,0.0,3,Apartment,RM
Kochi,vyttila,33,850,2,5.5,2,Apartment,RM
Thrissur,Cheroor,39.99,1120,2,0.0,2,Apartment,RM
Kochi,Edappally,46,1002,2,0.0,2,Apartment,RM
Kochi,Periyar Nagar,57.5,1350,3,4.0,3,Apartment,RM
Kochi,Kuzhivelippady,62,1800,3,5.5,4,Villa,RM
Kozhikode,Chathamangalam Grama Panchayath,170.0,4200,6,2.0,5,Independent House,RM
Kochi,Maradu,74.5,1310,4,0.0,3,Villa,RM
Kozhikode,Government Medical College Campus,150.0,3000,4,0.0,5,Villa,UC
Kochi,Palarivattom,60,1282,3,0.0,3,Apartment,RM
Kochi,Kakkanad,70,1750,3,0.0,3,Villa,RM
Trivandrum,Karyavattom,90,1500,3,0.0,3,Villa,UC
Ernakulam,Eloor,76,1464,3,4.5,3,Villa,RM
Thrissur,Pullazhi,68,1800,4,0.0,3,Villa,UC
Thrissur,Cheroor,125.0,2500,5,0.0,4,Independent House,RM
Pathanamthitta,Thiruvalla,114.99999999999999,3200,5,6.5,5,Villa,RM
Kochi,Kakkanad,52,1517,2,1.5,2,Apartment,RM
Kochi,Kakkanad,69.99,1406,2,10.5,3,Apartment,RM
Trivandrum,Kazhakkoottam,85,1605,3,0.5,3,Villa,RM
Kochi,Cheranalloor,70,900,2,4.5,2,Independent House,RM
Kochi,Kakkanad,48,1394,3,0.0,3,Apartment,RM
Kochi,vyttila,33,850,2,5.5,2,Apartment,RM
Thrissur,Cheroor,39.99,1120,2,0.0,2,Apartment,RM
Kochi,Edappally,46,1002,2,0.0,2,Apartment,RM
Kochi,Periyar Nagar,57.5,1350,3,4.0,3,Apartment,RM
Kochi,Kuzhivelippady,62,1800,3,5.5,4,Villa,RM
Kozhikode,Chathamangalam Grama Panchayath,170.0,4200,6,2.0,5,Independent House,RM
Kochi,Maradu,74.5,1310,4,0.0,3,Villa,RM
Kozhikode,Government Medical College Campus,150.0,3000,4,0.0,5,Villa,UC
Kochi,Palarivattom,60,1282,3,0.0,3,Apartment,RM
Kochi,Kakkanad,70,1750,3,0.0,3,Villa,RM
Trivandrum,Karyavattom,90,1500,3,0.0,3,Villa,UC
Ernakulam,Eloor,76,1464,3,4.5,3,Villa,RM
Thrissur,Pullazhi,68,1800,4,0.0,3,Villa,UC
Thrissur,Cheroor,125.0,2500,5,0.0,4,Independent House,RM
Pathanamthitta,Thiruvalla,114.99999999999999,3200,5,6.5,5,Villa,RM
Kochi,Kakkanad,52,1517,2,1.5,2,Apartment,RM
Kochi,Kakkanad,69.99,1406,2,10.5,3,Apartment,RM
Trivandrum,Kazhakkoottam,85,1605,3,0.5,3,Villa,RM
Kochi,Cheranalloor,70,900,2,4.5,2,Independent House,RM
Kochi,Kakkanad,48,1394,3,0.0,3,Apartment,RM
Kochi,vyttila,33,850,2,5.5,2,Apartment,RM
Thrissur,Cheroor,39.99,1120,2,0.0,2,Apartment,RM
Kochi,Edappally,46,1002,2,0.0,2,Apartment,RM
Kochi,Periyar Nagar,57.5,1350,3,4.0,3,Apartment,RM
Kochi,Kuzhivelippady,62,1800,3,5.5,4,Villa,RM
Kozhikode,Chathamangalam Grama Panchayath,170.0,4200,6,2.0,5,Independent House,RM
Kochi,Maradu,74.5,1310,4,0.0,3,Villa,RM
Kozhikode,Government Medical College Campus,150.0,3000,4,0.0,5,Villa,UC
Kochi,Palarivattom,60,1282,3,0.0,3,Apartment,RM
Kochi,Kakkanad,70,1750,3,0.0,3,Villa,RM
Trivandrum,Karyavattom,90,1500,3,0.0,3,Villa,UC
Ernakulam,Eloor,76,1464,3,4.5,3,Villa,RM
Thrissur,Pullazhi,68,1800,4,0.0,3,Villa,UC
Thrissur,Cheroor,125.0,2500,5,0.0,4,Independent House,RM
Pathanamthitta,Thiruvalla,114.99999999999999,3200,5,6.5,5,Villa,RM
Kochi,Kakkanad,52,1517,2,1.5,2,Apartment,RM
Kochi,Kakkanad,69.99,1406,2,10.5,3,Apartment,RM
Trivandrum,Kazhakkoottam,85,1605,3,0.5,3,Villa,RM
Kochi,Cheranalloor,70,900,2,4.5,2,Independent House,RM
Kochi,Kakkanad,48,1394,3,0.0,3,Apartment,RM
Kochi,vyttila,33,850,2,5.5,2,Apartment,RM
Thrissur,Cheroor,39.99,1120,2,0.0,2,Apartment,RM
Kochi,Edappally,46,1002,2,0.0,2,Apartment,RM
Kochi,Periyar Nagar,57.5,1350,3,4.0,3,Apartment,RM
Kochi,Kuzhivelippady,62,1800,3,5.5,4,Villa,RM
Kozhikode,Chathamangalam Grama Panchayath,170.0,4200,6,2.0,5,Independent House,RM
Kochi,Maradu,74.5,1310,4,0.0,3,Villa,RM
Kozhikode,Government Medical College Campus,150.0,3000,4,0.0,5,Villa,UC
Kochi,Palarivattom,60,1282,3,0.0,3,Apartment,RM
Kochi,Kakkanad,70,1750,3,0.0,3,Villa,RM
Trivandrum,Karyavattom,90,1500,3,0.0,3,Villa,UC
Ernakulam,Eloor,76,1464,3,4.5,3,Villa,RM
Thrissur,Pullazhi,68,1800,4,0.0,3,Villa,UC
Thrissur,Cheroor,125.0,2500,5,0.0,4,Independent House,RM
Pathanamthitta,Thiruvalla,114.99999999999999,3200,5,6.5,5,Villa,RM
Kochi,Kakkanad,52,1517,2,1.5,2,Apartment,RM
Kochi,Kakkanad,69.99,1406,2,10.5,3,Apartment,RM
Trivandrum,Kazhakkoottam,85,1605,3,0.5,3,Villa,RM
Kochi,Cheranalloor,70,900,2,4.5,2,Independent House,RM
Kochi,Kakkanad,48,1394,3,0.0,3,Apartment,RM
Kochi,vyttila,33,850,2,5.5,2,Apartment,RM
Thrissur,Cheroor,39.99,1120,2,0.0,2,Apartment,RM
Kochi,Edappally,46,1002,2,0.0,2,Apartment,RM
Kochi,Periyar Nagar,57.5,1350,3,4.0,3,Apartment,RM
Kochi,Kuzhivelippady,62,1800,3,5.5,4,Villa,RM
Kozhikode,Chathamangalam Grama Panchayath,170.0,4200,6,2.0,5,Independent House,RM
Kochi,Maradu,74.5,1310,4,0.0,3,Villa,RM
Kozhikode,Government Medical College Campus,150.0,3000,4,0.0,5,Villa,UC
Kochi,Palarivattom,60,1282,3,0.0,3,Apartment,RM
Kochi,Kakkanad,70,1750,3,0.0,3,Villa,RM
Trivandrum,Karyavattom,90,1500,3,0.0,3,Villa,UC
Ernakulam,Eloor,76,1464,3,4.5,3,Villa,RM
Thrissur,Pullazhi,68,1800,4,0.0,3,Villa,UC
Thrissur,Cheroor,125.0,2500,5,0.0,4,Independent House,RM
Pathanamthitta,Thiruvalla,114.99999999999999,3200,5,6.5,5,Villa,RM
Kochi,Kakkanad,52,1517,2,1.5,2,Apartment,RM
Kochi,Kakkanad,69.99,1406,2,10.5,3,Apartment,RM
Trivandrum,Kazhakkoottam,85,1605,3,0.5,3,Villa,RM
Kochi,Cheranalloor,70,900,2,4.5,2,Independent House,RM
Kochi,Kakkanad,48,1394,3,0.0,3,Apartment,RM
Kochi,vyttila,33,850,2,5.5,2,Apartment,RM
Thrissur,Cheroor,39.99,1120,2,0.0,2,Apartment,RM
Kochi,Edappally,46,1002,2,0.0,2,Apartment,RM
Kochi,Periyar Nagar,57.5,1350,3,4.0,3,Apartment,RM
Kochi,Kuzhivelippady,62,1800,3,5.5,4,Villa,RM
Kozhikode,Chathamangalam Grama Panchayath,170.0,4200,6,2.0,5,Independent House,RM
Kochi,Maradu,74.5,1310,4,0.0,3,Villa,RM
Kozhikode,Government Medical College Campus,150.0,3000,4,0.0,5,Villa,UC
Kochi,Palarivattom,60,1282,3,0.0,3,Apartment,RM
Kochi,Kakkanad,70,1750,3,0.0,3,Villa,RM
Trivandrum,Karyavattom,90,1500,3,0.0,3,Villa,UC
Ernakulam,Eloor,76,1464,3,4.5,3,Villa,RM
Thrissur,Pullazhi,68,1800,4,0.0,3,Villa,UC
Thrissur,Cheroor,125.0,2500,5,0.0,4,Independent House,RM
Pathanamthitta,Thiruvalla,114.99999999999999,3200,5,6.5,5,Villa,RM
Kochi,Kakkanad,52,1517,2,1.5,2,Apartment,RM
Kochi,Kakkanad,69.99,1406,2,10.5,3,Apartment,RM
Trivandrum,Kazhakkoottam,85,1605,3,0.5,3,Villa,RM
Kochi,Cheranalloor,70,900,2,4.5,2,Independent House,RM
Kochi,Kakkanad,48,1394,3,0.0,3,Apartment,RM
Kochi,vyttila,33,850,2,5.5,2,Apartment,RM
Thrissur,Cheroor,39.99,1120,2,0.0,2,Apartment,RM
Kochi,Edappally,46,1002,2,0.0,2,Apartment,RM
Kochi,Periyar Nagar,57.5,1350,3,4.0,3,Apartment,RM
Kochi,Kuzhivelippady,62,1800,3,5.5,4,Villa,RM
Kozhikode,Chathamangalam Grama Panchayath,170.0,4200,6,2.0,5,Independent House,RM
Kochi,Maradu,74.5,1310,4,0.0,3,Villa,RM
Kozhikode,Government Medical College Campus,150.0,3000,4,0.0,5,Villa,UC
Kochi,Palarivattom,60,1282,3,0.0,3,Apartment,RM
Kochi,Kakkanad,70,1750,3,0.0,3,Villa,RM
Trivandrum,Karyavattom,90,1500,3,0.0,3,Villa,UC
Ernakulam,Eloor,76,1464,3,4.5,3,Villa,RM
Thrissur,Pullazhi,68,1800,4,0.0,3,Villa,UC
Thrissur,Cheroor,125.0,2500,5,0.0,4,Independent House,RM
Pathanamthitta,Thiruvalla,114.99999999999999,3200,5,6.5,5,Villa,RM
Kochi,Kakkanad,52,1517,2,1.5,2,Apartment,RM
Kochi,Kakkanad,69.99,1406,2,10.5,3,Apartment,RM
Trivandrum,Kazhakkoottam,85,1605,3,0.5,3,Villa,RM
Kochi,Cheranalloor,70,900,2,4.5,2,Independent House,RM
Kochi,Kakkanad,48,1394,3,0.0,3,Apartment,RM
Kochi,vyttila,33,850,2,5.5,2,Apartment,RM
Thrissur,Cheroor,39.99,1120,2,0.0,2,Apartment,RM
Kochi,Edappally,46,1002,2,0.0,2,Apartment,RM
Kochi,Periyar Nagar,57.5,1350,3,4.0,3,Apartment,RM
Kochi,Kuzhivelippady,62,1800,3,5.5,4,Villa,RM
Kozhikode,Chathamangalam Grama Panchayath,170.0,4200,6,2.0,5,Independent House,RM
Kochi,Maradu,74.5,1310,4,0.0,3,Villa,RM
Kozhikode,Government Medical College Campus,150.0,3000,4,0.0,5,Villa,UC
Kochi,Palarivattom,60,1282,3,0.0,3,Apartment,RM
Kochi,Kakkanad,70,1750,3,0.0,3,Villa,RM
Trivandrum,Karyavattom,90,1500,3,0.0,3,Villa,UC
Ernakulam,Eloor,76,1464,3,4.5,3,Villa,RM
Thrissur,Pullazhi,68,1800,4,0.0,3,Villa,UC
Thrissur,Cheroor,125.0,2500,5,0.0,4,Independent House,RM
Pathanamthitta,Thiruvalla,114.99999999999999,3200,5,6.5,5,Villa,RM
Kochi,Kakkanad,52,1517,2,1.5,2,Apartment,RM
Kochi,Kakkanad,69.99,1406,2,10.5,3,Apartment,RM
Trivandrum,Kazhakkoottam,85,1605,3,0.5,3,Villa,RM
Kochi,Cheranalloor,70,900,2,4.5,2,Independent House,RM
Kochi,Kakkanad,48,1394,3,0.0,3,Apartment,RM
Kochi,vyttila,33,850,2,5.5,2,Apartment,RM
Thrissur,Cheroor,39.99,1120,2,0.0,2,Apartment,RM
Kochi,Edappally,46,1002,2,0.0,2,Apartment,RM
Kochi,Periyar Nagar,57.5,1350,3,4.0,3,Apartment,RM
Kochi,Kuzhivelippady,62,1800,3,5.5,4,Villa,RM
Kozhikode,Chathamangalam Grama Panchayath,170.0,4200,6,2.0,5,Independent House,RM
Kochi,Maradu,74.5,1310,4,0.0,3,Villa,RM
Kozhikode,Government Medical College Campus,150.0,3000,4,0.0,5,Villa,UC
Kochi,Palarivattom,60,1282,3,0.0,3,Apartment,RM
Kochi,Kakkanad,70,1750,3,0.0,3,Villa,RM
Trivandrum,Karyavattom,90,1500,3,0.0,3,Villa,UC
Ernakulam,Eloor,76,1464,3,4.5,3,Villa,RM
Thrissur,Pullazhi,68,1800,4,0.0,3,Villa,UC
Thrissur,Cheroor,125.0,2500,5,0.0,4,Independent House,RM
Pathanamthitta,Thiruvalla,114.99999999999999,3200,5,6.5,5,Villa,RM
Kochi,Kakkanad,52,1517,2,1.5,2,Apartment,RM
Kochi,Kakkanad,69.99,1406,2,10.5,3,Apartment,RM
Trivandrum,Kazhakkoottam,85,1605,3,0.5,3,Villa,RM
Kochi,Cheranalloor,70,900,2,4.5,2,Independent House,RM
Kochi,Kakkanad,48,1394,3,0.0,3,Apartment,RM
Kochi,vyttila,33,850,2,5.5,2,Apartment,RM
Thrissur,Cheroor,39.99,1120,2,0.0,2,Apartment,RM
Kochi,Edappally,46,1002,2,0.0,2,Apartment,RM
Kochi,Periyar Nagar,57.5,1350,3,4.0,3,Apartment,RM
Kochi,Kuzhivelippady,62,1800,3,5.5,4,Villa,RM
Kozhikode,Chathamangalam Grama Panchayath,170.0,4200,6,2.0,5,Independent House,RM
Kochi,Maradu,74.5,1310,4,0.0,3,Villa,RM
Kozhikode,Government Medical College Campus,150.0,3000,4,0.0,5,Villa,UC
Kochi,Palarivattom,60,1282,3,0.0,3,Apartment,RM
Kochi,Kakkanad,70,1750,3,0.0,3,Villa,RM
Trivandrum,Karyavattom,90,1500,3,0.0,3,Villa,UC
Ernakulam,Eloor,76,1464,3,4.5,3,Villa,RM
Thrissur,Pullazhi,68,1800,4,0.0,3,Villa,UC
Thrissur,Cheroor,125.0,2500,5,0.0,4,Independent House,RM
Pathanamthitta,Thiruvalla,114.99999999999999,3200,5,6.5,5,Villa,RM
Kochi,Kakkanad,52,1517,2,1.5,2,Apartment,RM
Kochi,Kakkanad,69.99,1406,2,10.5,3,Apartment,RM
Trivandrum,Kazhakkoottam,85,1605,3,0.5,3,Villa,RM
Kochi,Cheranalloor,70,900,2,4.5,2,Independent House,RM
Kochi,Kakkanad,48,1394,3,0.0,3,Apartment,RM
Kochi,vyttila,33,850,2,5.5,2,Apartment,RM
Thrissur,Cheroor,39.99,1120,2,0.0,2,Apartment,RM
Kochi,Edappally,46,1002,2,0.0,2,Apartment,RM
Kochi,Periyar Nagar,57.5,1350,3,4.0,3,Apartment,RM
Kochi,Kuzhivelippady,62,1800,3,5.5,4,Villa,RM
Kozhikode,Chathamangalam Grama Panchayath,170.0,4200,6,2.0,5,Independent House,RM
Kochi,Maradu,74.5,1310,4,0.0,3,Villa,RM
Kozhikode,Government Medical College Campus,150.0,3000,4,0.0,5,Villa,UC
Kochi,Palarivattom,60,1282,3,0.0,3,Apartment,RM
Kochi,Kakkanad,70,1750,3,0.0,3,Villa,RM
Trivandrum,Karyavattom,90,1500,3,0.0,3,Villa,UC
Ernakulam,Eloor,76,1464,3,4.5,3,Villa,RM
Thrissur,Pullazhi,68,1800,4,0.0,3,Villa,UC
Thrissur,Cheroor,125.0,2500,5,0.0,4,Independent House,RM
Pathanamthitta,Thiruvalla,114.99999999999999,3200,5,6.5,5,Villa,RM
Kochi,Kakkanad,52,1517,2,1.5,2,Apartment,RM
Kochi,Kakkanad,69.99,1406,2,10.5,3,Apartment,RM
Trivandrum,Kazhakkoottam,85,1605,3,0.5,3,Villa,RM
Kochi,Cheranalloor,70,900,2,4.5,2,Independent House,RM
Kochi,Kakkanad,48,1394,3,0.0,3,Apartment,RM
Kochi,vyttila,33,850,2,5.5,2,Apartment,RM
Thrissur,Cheroor,39.99,1120,2,0.0,2,Apartment,RM
Kochi,Edappally,46,1002,2,0.0,2,Apartment,RM
Kochi,Periyar Nagar,57.5,1350,3,4.0,3,Apartment,RM
Kochi,Kuzhivelippady,62,1800,3,5.5,4,Villa,RM
Kozhikode,Chathamangalam Grama Panchayath,170.0,4200,6,2.0,5,Independent House,RM
Kochi,Maradu,74.5,1310,4,0.0,3,Villa,RM
Kozhikode,Government Medical College Campus,150.0,3000,4,0.0,5,Villa,UC
Kochi,Palarivattom,60,1282,3,0.0,3,Apartment,RM
Kochi,Kakkanad,70,1750,3,0.0,3,Villa,RM
Trivandrum,Karyavattom,90,1500,3,0.0,3,Villa,UC
Ernakulam,Eloor,76,1464,3,4.5,3,Villa,RM
Thrissur,Pullazhi,68,1800,4,0.0,3,Villa,UC
Thrissur,Cheroor,125.0,2500,5,0.0,4,Independent House,RM
Pathanamthitta,Thiruvalla,114.99999999999999,3200,5,6.5,5,Villa,RM
Kochi,Kakkanad,52,1517,2,1.5,2,Apartment,RM
Kochi,Kakkanad,69.99,1406,2,10.5,3,Apartment,RM
Trivandrum,Kazhakkoottam,85,1605,3,0.5,3,Villa,RM
Kochi,Cheranalloor,70,900,2,4.5,2,Independent House,RM
Kochi,Kakkanad,48,1394,3,0.0,3,Apartment,RM
Kochi,vyttila,33,850,2,5.5,2,Apartment,RM
Thrissur,Cheroor,39.99,1120,2,0.0,2,Apartment,RM
Kochi,Edappally,46,1002,2,0.0,2,Apartment,RM
Kochi,Periyar Nagar,57.5,1350,3,4.0,3,Apartment,RM
Kochi,Kuzhivelippady,62,1800,3,5.5,4,Villa,RM
Kozhikode,Chathamangalam Grama Panchayath,170.0,4200,6,2.0,5,Independent House,RM
Kochi,Maradu,74.5,1310,4,0.0,3,Villa,RM
Kozhikode,Government Medical College Campus,150.0,3000,4,0.0,5,Villa,UC
Kochi,Palarivattom,60,1282,3,0.0,3,Apartment,RM
Kochi,Kakkanad,70,1750,3,0.0,3,Villa,RM
Trivandrum,Karyavattom,90,1500,3,0.0,3,Villa,UC
Ernakulam,Eloor,76,1464,3,4.5,3,Villa,RM
Thrissur,Pullazhi,68,1800,4,0.0,3,Villa,UC
Thrissur,Cheroor,125.0,2500,5,0.0,4,Independent House,RM
Pathanamthitta,Thiruvalla,114.99999999999999,3200,5,6.5,5,Villa,RM
Kochi,Kakkanad,52,1517,2,1.5,2,Apartment,RM
Kochi,Kakkanad,69.99,1406,2,10.5,3,Apartment,RM
Trivandrum,Kazhakkoottam,85,1605,3,0.5,3,Villa,RM
Kochi,Cheranalloor,70,900,2,4.5,2,Independent House,RM
Kochi,Kakkanad,48,1394,3,0.0,3,Apartment,RM
Kochi,vyttila,33,850,2,5.5,2,Apartment,RM
Thrissur,Cheroor,39.99,1120,2,0.0,2,Apartment,RM
Kochi,Edappally,46,1002,2,0.0,2,Apartment,RM
Kochi,Periyar Nagar,57.5,1350,3,4.0,3,Apartment,RM
Kochi,Kuzhivelippady,62,1800,3,5.5,4,Villa,RM
Kozhikode,Chathamangalam Grama Panchayath,170.0,4200,6,2.0,5,Independent House,RM
Kochi,Maradu,74.5,1310,4,0.0,3,Villa,RM
Kozhikode,Government Medical College Campus,150.0,3000,4,0.0,5,Villa,UC
Kochi,Palarivattom,60,1282,3,0.0,3,Apartment,RM
Kochi,Kakkanad,70,1750,3,0.0,3,Villa,RM
Trivandrum,Karyavattom,90,1500,3,0.0,3,Villa,UC
Ernakulam,Eloor,76,1464,3,4.5,3,Villa,RM
Thrissur,Pullazhi,68,1800,4,0.0,3,Villa,UC
Thrissur,Cheroor,125.0,2500,5,0.0,4,Independent House,RM
Pathanamthitta,Thiruvalla,114.99999999999999,3200,5,6.5,5,Villa,RM
Kochi,Kakkanad,52,1517,2,1.5,2,Apartment,RM
Kochi,Kakkanad,69.99,1406,2,10.5,3,Apartment,RM
Trivandrum,Kazhakkoottam,85,1605,3,0.5,3,Villa,RM
Kochi,Cheranalloor,70,900,2,4.5,2,Independent House,RM
Kochi,Kakkanad,48,1394,3,0.0,3,Apartment,RM
Kochi,vyttila,33,850,2,5.5,2,Apartment,RM
Thrissur,Cheroor,39.99,1120,2,0.0,2,Apartment,RM
Kochi,Edappally,46,1002,2,0.0,2,Apartment,RM
Kochi,Periyar Nagar,57.5,1350,3,4.0,3,Apartment,RM
Kochi,Kuzhivelippady,62,1800,3,5.5,4,Villa,RM
Kozhikode,Chathamangalam Grama Panchayath,170.0,4200,6,2.0,5,Independent House,RM
Kochi,Maradu,74.5,1310,4,0.0,3,Villa,RM
Kozhikode,Government Medical College Campus,150.0,3000,4,0.0,5,Villa,UC
Kochi,Palarivattom,60,1282,3,0.0,3,Apartment,RM
Kochi,Kakkanad,70,1750,3,0.0,3,Villa,RM
